Date,Stock Code,Trading Volume,Transaction Amount,Opening Price,Highest Price,Lower Price,Closing Price,Price Change Percentage,Number of Transactions
2017-01-03,2330,23550783,4300648272,181.5,183.5,181,183,1.5,8743
2017-01-04,2330,24482374,4478699942,183,184,181.5,183,0,8476
2017-01-05,2330,21373561,3913389163,182,183.5,181.5,183.5,0.5,8297
2017-01-06,2330,23120808,4250912732,184,184.5,183.5,184,0.5,9659
2017-01-09,2330,18583788,3419409204,184,185,183,184,0,5759
2017-01-10,2330,20691305,3811496280,184.5,185.5,183.5,184,0,7831
2017-01-11,2330,29747168,5438136536,185,185,181.5,182,-2,10509
2017-01-12,2330,48599502,8959263194,182.5,185.5,182.5,184.5,2.5,13220
2017-01-13,2330,53089358,9622624651,180.5,182.5,180.5,181.5,-3,16366
2017-01-16,2330,30878049,5545432320,180,180.5,179,179.5,-2,13441
2017-01-17,2330,13207419,2386575839,180.5,181,179.5,181,1.5,5771
2017-01-18,2330,23810637,4292682797,180.5,181,179.5,181,0,7783
2017-01-19,2330,25935613,4673783621,179.5,181,179.5,180.5,-0.5,8400
2017-01-20,2330,42317086,7658563990,181,181.5,180.5,181,0.5,7803
2017-01-23,2330,58299156,10699572592,182.5,185,182.5,185,4,13560
2017-01-24,2330,72014239,13356900945,185,186.5,184.5,185.5,0.5,14227
2017-02-02,2330,153703780,28731441750,188,188.5,184,184.5,-1,21047
2017-02-03,2330,30387652,5604884683,186,186,183.5,184.5,0,8079
2017-02-06,2330,29702832,5476151588,184.5,185.5,184,184.5,0,8330
2017-02-07,2330,23981988,4418689272,183.5,185,183,184.5,0,8712
2017-02-08,2330,45607272,8371548478,183.5,184.5,183,183.5,-1,8245
2017-02-09,2330,23419788,4320161722,184,185.5,183.5,184,0.5,6639
2017-02-10,2330,49257380,9113650300,184.5,185.5,184,185.5,1.5,9566
2017-02-13,2330,26155819,4904437753,186.5,188,186.5,187.5,2,10124
2017-02-14,2330,46716940,8798947193,189,190,187.5,187.5,0,11413
2017-02-15,2330,39928274,7528270012,187,189.5,186.5,189,1.5,12905
2017-02-16,2330,28371087,5360502302,190,190.5,188,189,0,9035
2017-02-17,2330,20407880,3870482337,190,190.5,189,189.5,0.5,7390
2017-02-18,2330,3517102,667392778,190,190.5,189.5,189.5,0,1771
2017-02-20,2330,13280401,2523599428,190,190.5,189.5,190,0.5,6466
2017-02-21,2330,31987532,6058373156,190,190,188.5,190,0,8646
2017-02-22,2330,26144905,4946742296,190.5,191,188.5,188.5,-1.5,6199
2017-02-23,2330,36095621,6809495260,188,189.5,187,188.5,0,7885
2017-02-24,2330,26177021,4945608983,187.5,190.5,187.5,189,0.5,7417
2017-03-01,2330,48263273,9041728541,188.5,188.5,186,186,-3,12019
2017-03-02,2330,40879671,7603470296,188,188.5,185,186,0,12567
2017-03-03,2330,28213610,5199920850,184.5,185,184,184,-2,11570
2017-03-06,2330,12633329,2321087036,184,184.5,183.5,183.5,-0.5,5831
2017-03-07,2330,22816387,4214029230,184,185.5,184,185.5,2,5824
2017-03-08,2330,38657077,7217763409,186,188,185.5,187,1.5,9614
2017-03-09,2330,31119469,5750011305,185.5,186,184,184.5,-2.5,12394
2017-03-10,2330,24886297,4569391905,184,184.5,183,183.5,-1,10065
2017-03-13,2330,11025355,2048482530,185,186.5,185,186.5,3,4141
2017-03-14,2330,24373221,4564713486,188,188,186,186,-0.5,7773
2017-03-15,2330,14147168,2634475248,185.5,187,185.5,186.5,0.5,4952
2017-03-16,2330,32452964,6143253446,188,190,188,190,3.5,15071
2017-03-17,2330,38698064,7377279160,189.5,191.5,189,191.5,1.5,10731
2017-03-20,2330,16531620,3154243641,191.5,191.5,189.5,191.5,0,6790
2017-03-21,2330,33662234,6523324906,192,195,191.5,195,3.5,13192
2017-03-22,2330,27766559,5349879407,192.5,193.5,191.5,193.5,-1.5,9435
2017-03-23,2330,18831295,3628401625,192,193.5,192,193.5,0,6052
2017-03-24,2330,17722202,3408016684,192,193,192,192.5,-1,5225
2017-03-27,2330,29867998,5766195556,194.5,194.5,192,193,0.5,6963
2017-03-28,2330,39522318,7662549266,195,195,192.5,194.5,1.5,9380
2017-03-29,2330,33839400,6501685654,194.5,194.5,191,191.5,-3,11340
2017-03-30,2330,30716971,5884771607,192.5,193,190.5,191.5,0,9900
2017-03-31,2330,33996900,6457321080,191,192,189,189,-2.5,10225
2017-04-05,2330,45116406,8656195632,189.5,193,189.5,193,4,14224
2017-04-06,2330,17417037,3337417368,193,193,191,191.5,-1.5,6309
2017-04-07,2330,19066095,3624732655,192,192,188.5,191,-0.5,7861
2017-04-10,2330,17388929,3307523455,191,191.5,189.5,190,-1,6803
2017-04-11,2330,9788922,1862488347,190,191,189,191,1,3348
2017-04-12,2330,17418048,3321982188,190.5,191.5,190,191,0,5778
2017-04-13,2330,14796174,2829915284,189.5,192,189.5,191.5,0.5,5705
2017-04-14,2330,31317585,5909582565,189.5,189.5,188,189,-2.5,12442
2017-04-17,2330,17111522,3223517863,189,189,187.5,187.5,-1.5,7470
2017-04-18,2330,28732770,5411365190,188,189.5,187.5,188,0.5,6174
2017-04-19,2330,31171199,5828201425,187.5,187.5,186.5,186.5,-1.5,9427
2017-04-20,2330,32697485,6118457114,186.5,188,186.5,187,0.5,6751
2017-04-21,2330,19034232,3603058600,187.5,190,187.5,190,3,6966
2017-04-24,2330,29572675,5612973548,191,191.5,188.5,190,0,5428
2017-04-25,2330,31952889,6096631799,190.5,192,189.5,192,2,10510
2017-04-26,2330,31119972,5951704052,192,192,190.5,191,-1,10342
2017-04-27,2330,35812934,6877484808,192,193,190.5,193,2,9859
2017-04-28,2330,38381021,7446882120,193.5,194.5,193,194.5,1.5,11671
2017-05-02,2330,45851963,9053856108,198.5,199,195.5,196.5,2,15718
2017-05-03,2330,27240962,5390698304,198,198.5,197,198,1.5,9259
2017-05-04,2330,22194084,4394409518,198.5,199,197,198,0,8787
2017-05-05,2330,17618358,3484019026,197,198.5,197,197.5,-0.5,6078
2017-05-08,2330,39591009,7943498809,199,202.5,199,202.5,5,15190
2017-05-09,2330,48285324,9920879512,205.5,207,203.5,203.5,1,15467
2017-05-10,2330,31075759,6369713620,204,206,204,205.5,2,11094
2017-05-11,2330,44286097,9144772197,204.5,208.5,204,207.5,2,16478
2017-05-12,2330,25507045,5246098865,205,207,205,206,-1.5,7515
2017-05-15,2330,25922334,5324070590,204,206,204,206,0,8141
2017-05-16,2330,36604672,7468111624,205,205,203.5,204.5,-1.5,11066
2017-05-17,2330,22606380,4599735640,203,204,203,204,-0.5,9323
2017-05-18,2330,22490217,4559780051,202.5,204,201.5,203.5,-0.5,6983
2017-05-19,2330,17163108,3490280961,203.5,204.5,202.5,203,-0.5,6014
2017-05-22,2330,17419705,3554245920,203.5,205,203,205,2,5278
2017-05-23,2330,23028298,4738103907,205,207,204.5,205,0,7003
2017-05-24,2330,18307715,3760309975,205,206,205,205.5,0.5,5141
2017-05-25,2330,26088748,5388004408,206,207,205.5,207,1.5,7406
2017-05-26,2330,32976727,6794923568,205,207,205,207,0,8059
2017-05-31,2330,67935145,13853122715,206.5,207,203,203,-4,11757
2017-06-01,2330,29623649,6096361694,205,207,204.5,207,4,6374
2017-06-02,2330,23265323,4845442265,208.5,209,207.5,209,2,7429
2017-06-03,2330,1535230,320348914,209,209,208,209,0,1078
2017-06-05,2330,22545164,4746962354,209.5,212,209,212,3,8931
2017-06-06,2330,15382025,3243804586,210.5,211.5,210.5,210.5,-1.5,5541
2017-06-07,2330,34729326,7342424736,212,212.5,210,211.5,1,8034
2017-06-08,2330,21654488,4599496993,212,213,211.5,213,1.5,7926
2017-06-09,2330,35190159,7505851237,214.5,215,212,212,-1,10657
2017-06-12,2330,63111746,13135046554,207,210,207,207.5,-4.5,22473
2017-06-13,2330,49983303,10381567507,207,208.5,206.5,208,0.5,13236
2017-06-14,2330,39083899,8113132831,208.5,209.5,206,207,-1,11304
2017-06-15,2330,19486457,4046560581,207.5,208,207,208,1,6497
2017-06-16,2330,32856536,6902455266,207.5,212,207,211.5,3.5,9683
2017-06-19,2330,17489571,3712290873,211,213,210.5,213,1.5,5658
2017-06-20,2330,28784100,6229988043,215,218,214.5,216.5,3.5,9135
2017-06-21,2330,45384482,9793828804,216,217,214.5,215.5,-1,12233
2017-06-22,2330,26094649,5674049232,217,218,216.5,218,2.5,7559
2017-06-23,2330,39686091,8627393668,218,218.5,217,217,-1,14539
2017-06-26,2330,60140797,12848925735,212,215,212,215,0,20653
2017-06-27,2330,44504785,9437315205,214,214,211,211.5,-3.5,17122
2017-06-28,2330,52273921,10919812400,209.5,210,208,208.5,-3,15953
2017-06-29,2330,27049234,5678566197,210.5,210.5,208.5,210,1.5,8431
2017-06-30,2330,31709978,6580047422,206.5,208.5,206.5,208.5,-1.5,9805
2017-07-03,2330,21066605,4382736445,207.5,209,207,209,0.5,7037
2017-07-04,2330,21592272,4476915676,208,208.5,207,207,-2,8990
2017-07-05,2330,23463030,4868199460,207,208.5,206.5,208.5,1.5,7278
2017-07-06,2330,15260726,3166474008,208,208.5,207,207.5,-1,4473
2017-07-07,2330,21567705,4449245335,207,207.5,205.5,206,-1.5,8234
2017-07-10,2330,13326526,2749724552,206.5,207,206,206,0,5812
2017-07-11,2330,34593975,7275696778,208,212,207.5,212,6,11217
2017-07-12,2330,26887728,5690155100,211,212.5,210.5,210.5,-1.5,9582
2017-07-13,2330,50136849,10735533186,212,216,211.5,214.5,4,16903
2017-07-14,2330,22364167,4773890099,213,214.5,212,213,-1.5,9330
2017-07-17,2330,21400126,4566620338,215,215.5,211.5,213,0,8537
2017-07-18,2330,18756453,3998545790,213,214,212,214,1,8905
2017-07-19,2330,20661381,4428023668,212.5,215,212.5,214.5,0.5,11699
2017-07-20,2330,20795770,4468108550,215,215.5,214,215.5,1,8261
2017-07-21,2330,15422136,3302914894,214,215,213.5,214,-1.5,7558
2017-07-24,2330,20002702,4279712228,213.5,214.5,213,214.5,0.5,6805
2017-07-25,2330,13853196,2965264666,214,214.5,213.5,214,-0.5,4836
2017-07-26,2330,15900563,3393269119,215,215,212.5,213,-1,5219
2017-07-27,2330,23045021,4959471015,213.5,216,213.5,215.5,2.5,9138
2017-07-28,2330,21121133,4498197191,213,214,212.5,213,-2.5,7997
2017-07-31,2330,20363314,4352541276,211.5,214.5,211.5,214.5,1.5,6039
2017-08-01,2330,20314999,4325934287,212.5,214,212,212,-2.5,7318
2017-08-02,2330,30528035,6574998275,214,216,214,216,4,11028
2017-08-03,2330,27097397,5779905218,213,214,212.5,213.5,-2.5,7041
2017-08-04,2330,22187420,4735259954,213.5,214,212.5,213,-0.5,5240
2017-08-07,2330,21594977,4653776958,213.5,216.5,213.5,216,3,7115
2017-08-08,2330,25223804,5483118368,217.5,219,216,217.5,1.5,8404
2017-08-09,2330,28129447,6035247455,215,215.5,213.5,214.5,-3,9826
2017-08-10,2330,27440049,5866558686,215.5,215.5,212.5,214,-0.5,8227
2017-08-11,2330,41592129,8803564627,211,213.5,210.5,212.5,-1.5,13751
2017-08-14,2330,29414616,6233486198,213.5,214,210,211,-1.5,7719
2017-08-15,2330,14385915,3073117310,213,214.5,213,214,3,5250
2017-08-16,2330,25206990,5357190370,214.5,214.5,211,213,-1,8610
2017-08-17,2330,8353232,1785167148,213.5,214,213,214,1,3120
2017-08-18,2330,14363526,3043468038,212,213,211,212.5,-1.5,3999
2017-08-21,2330,13847499,2934064688,212.5,213,211.5,211.5,-1,5152
2017-08-22,2330,17330415,3710809960,213.5,214.5,213,214.5,3,7908
2017-08-23,2330,11757917,2531926275,215.5,216,214,215.5,1,5873
2017-08-24,2330,15426842,3341510582,216,217,215.5,217,1.5,6953
2017-08-25,2330,10975387,2384766481,217.5,217.5,216,217.5,0.5,5546
2017-08-28,2330,16512159,3564102094,215,216.5,215,216,-1.5,5673
2017-08-29,2330,16561161,3569385647,216,216,215,216,0,5587
2017-08-30,2330,19674310,4274683770,216,218,216,217.5,1.5,6732
2017-08-31,2330,26945202,5837056904,217.5,218,215.5,216.5,-1,6585
2017-09-01,2330,17805405,3851834126,215,217.5,215,216.5,0,6956
2017-09-04,2330,15053185,3273164145,216.5,218,215.5,217.5,1,8635
2017-09-05,2330,34514275,7503488603,218,218,216.5,218,0.5,7065
2017-09-06,2330,28148528,6117444609,216.5,218,216,217,-1,6999
2017-09-07,2330,19198540,4170321680,218,218.5,216,217,0,6586
2017-09-08,2330,25512045,5549520265,217,218,216.5,218,1,7969
2017-09-11,2330,19387886,4215723762,219,219.5,216.5,217,-1,5305
2017-09-12,2330,24862321,5437521978,219,219.5,217.5,219,2,5992
2017-09-13,2330,18336541,3998984438,217.5,219,217.5,218,-1,4598
2017-09-14,2330,21508567,4701852606,218.5,219,217.5,218.5,0.5,6314
2017-09-15,2330,48901103,10668230939,218.5,219,217,218.5,0,5253
2017-09-18,2330,17812705,3905801892,219,220,218,219.5,1,6714
2017-09-19,2330,26255575,5742129525,221.5,221.5,220,221.5,2,11072
2017-09-20,2330,23434237,5179958449,221,222,220,221.5,0,9347
2017-09-21,2330,18645565,4125047365,221,223,220,221,-0.5,6604
2017-09-22,2330,22456370,4930530220,221.5,222,218.5,218.5,-2.5,7431
2017-09-25,2330,17458286,3797761662,217.5,218.5,217,217,-1.5,6250
2017-09-26,2330,25003901,5392244669,217.5,218,214,214,-3,8768
2017-09-27,2330,24794510,5353580844,217.5,217.5,215,215,1,7326
2017-09-28,2330,31616062,6788534834,215,216,213.5,214,-1,7749
2017-09-29,2330,23954708,5184362760,216,217.5,215.5,216.5,2.5,7507
2017-09-30,2330,4254045,924823765,218,218.5,216.5,216.5,0,2446
2017-10-02,2330,28360551,6233064680,219.5,220.5,218.5,220.5,4,10605
2017-10-03,2330,38330938,8497244691,219,223,219,222.5,2,12703
2017-10-05,2330,25397939,5691251336,222,225.5,222,224.5,2,8601
2017-10-06,2330,16040516,3604683862,225,225.5,223.5,224.5,0,7612
2017-10-11,2330,67649562,15633206754,226.5,233.5,226.5,233,8.5,20879
2017-10-12,2330,44176186,10450920432,235,237.5,234.5,237.5,4.5,16490
2017-10-13,2330,23145071,5465540327,237.5,237.5,234.5,237.5,0,10507
2017-10-16,2330,20673072,4906963355,237.5,238,236,238,0.5,6764
2017-10-17,2330,17652304,4171891244,238,238,235,235.5,-2.5,6336
2017-10-18,2330,28970850,6901364183,239.5,239.5,237,237.5,2,10330
2017-10-19,2330,23481776,5636769464,239.5,241.5,239,239,1.5,9033
2017-10-20,2330,27056035,6456386670,238,239.5,237.5,237.5,-1.5,7206
2017-10-23,2330,15959559,3820927681,239,240,238.5,239,1.5,6686
2017-10-24,2330,16100570,3842463252,240,240,238,238,-1,6034
2017-10-25,2330,17205187,4099505436,238.5,239,237.5,238,0,5808
2017-10-26,2330,12959717,3069618429,237,238,236,236,-2,4947
2017-10-27,2330,18040541,4304460160,237.5,240,237.5,239,3,5715
2017-10-30,2330,30241990,7358619170,242,245,241.5,243,4,10609
2017-10-31,2330,22582013,5497062659,243.5,245,241.5,243,0,8176
2017-11-01,2330,20465054,4975624502,243.5,245,241.5,242.5,-0.5,6464
2017-11-02,2330,16309342,3940181714,242,242.5,240.5,241,-1.5,5912
2017-11-03,2330,18327682,4386122470,240.5,241,238.5,239,-2,5621
2017-11-06,2330,21029515,5063670900,243.5,244,239,239.5,0.5,6601
2017-11-07,2330,21689261,5266500464,242,244,241.5,244,4.5,6729
2017-11-08,2330,14579103,3536455029,243,243.5,242,242.5,-1.5,4610
2017-11-09,2330,21366949,5151628572,240.5,243,240,241,-1.5,6339
2017-11-10,2330,15061296,3629826936,240,242,239.5,240.5,-0.5,4465
2017-11-13,2330,12087858,2904559294,240,241.5,239.5,239.5,-1,4288
2017-11-14,2330,17229176,4132433432,241,241,239,240,0.5,4130
2017-11-15,2330,29720308,7063591898,239,239.5,236,237.5,-2.5,9224
2017-11-16,2330,17274172,4118927788,238,240,237.5,238,0.5,5683
2017-11-17,2330,18741825,4528440917,240.5,242.5,240.5,241.5,3.5,5647
2017-11-20,2330,19811271,4744311377,241,241.5,238,238.5,-3,5935
2017-11-21,2330,22878024,5529803248,240,243,239.5,243,4.5,7942
2017-11-22,2330,27251431,6631376152,244.5,244.5,242,242,-1,7655
2017-11-23,2330,9562763,2320934646,242,243.5,241.5,242.5,0.5,4253
2017-11-24,2330,11404453,2777319771,242,244.5,241.5,244,1.5,3910
2017-11-27,2330,32247327,7696717391,240,240,237,237,-7,14743
2017-11-28,2330,47834178,11198457400,234.5,235,233,234,-3,15262
2017-11-29,2330,26535797,6234161137,235,236,234.5,234.5,0.5,6976
2017-11-30,2330,112262770,25539072296,226.5,230.5,226,226,-8.5,21352
2017-12-01,2330,38356265,8830392980,228.5,233.5,227.5,231,5,17632
2017-12-04,2330,22939032,5347622547,232.5,234.5,231,234,3,7763
2017-12-05,2330,30189765,6938661754,231,231,228.5,229.5,-4.5,11202
2017-12-06,2330,34031690,7752572207,228,229.5,226.5,227,-2.5,10749
2017-12-07,2330,41619903,9349711831,226.5,226.5,222.5,226.5,-0.5,13336
2017-12-08,2330,38183260,8678808540,231,231,224.5,227,0.5,9485
2017-12-11,2330,20649609,4706571094,228.5,229,227,227.5,0.5,6384
2017-12-12,2330,28188584,6399536562,229.5,229.5,225,227.5,0,6210
2017-12-13,2330,19619331,4454578768,227.5,228,226.5,227,-0.5,6108
2017-12-14,2330,17263313,3956456249,228,230.5,227.5,230.5,3.5,6689
2017-12-15,2330,42725779,9781791170,228.5,230,226.5,230,-0.5,7602
2017-12-18,2330,15702664,3565805928,227,228,226.5,227,-3,5961
2017-12-19,2330,25899129,5844605314,226.5,228.5,224,225,-2,7609
2017-12-20,2330,34514333,7748610375,225,225.5,223.5,224.5,-0.5,10336
2017-12-21,2330,20826164,4696105505,226.5,227,224.5,225,0.5,5893
2017-12-22,2330,19106483,4315809802,225,227.5,224,227.5,2.5,6146
2017-12-25,2330,4579675,1045118165,228,229.5,226.5,228.5,1,2288
2017-12-26,2330,13755843,3118538018,229,229,225,226,-2.5,3550
2017-12-27,2330,12515245,2820168625,225,226,225,225,-1,5717
2017-12-28,2330,24370371,5521736966,226.5,228,225,226,1,7413
2017-12-29,2330,25610443,5861624377,227.5,230,226.5,229.5,3.5,8325
2018-01-02,2330,18055269,4188555408,231.5,232.5,231,232.5,3,9954
2018-01-03,2330,31706091,7504382512,236,238,235.5,237,4.5,13633
2018-01-04,2330,29179613,6963192636,240,240,236.5,239.5,2.5,10953
2018-01-05,2330,23721255,5681934695,240,240,238,240,0.5,8659
2018-01-08,2330,21846692,5281823362,242,242.5,240.5,242,2,10251
2018-01-09,2330,19043123,4588314012,242,242,239.5,242,0,7124
2018-01-10,2330,25716220,6118683273,241.5,242,236,236.5,-5.5,10534
2018-01-11,2330,32070338,7500674455,235,236,232.5,235,-1.5,9199
2018-01-12,2330,23141291,5463302207,234.5,238,233.5,237,2,7905
2018-01-15,2330,28576533,6832851887,240,240,238,240,3,9756
2018-01-16,2330,23407632,5609009540,240,240.5,238,240.5,0.5,8156
2018-01-17,2330,38118119,9207582787,240.5,243,239,242,1.5,12593
2018-01-18,2330,50119952,12406562364,245,250,245,248.5,6.5,19482
2018-01-19,2330,55061292,13975174348,253.5,255.5,251.5,255.5,7,18801
2018-01-22,2330,45907509,11934882643,257.5,262,257,261.5,6,13558
2018-01-23,2330,34606444,9155080569,262.5,266,262.5,266,4.5,13993
2018-01-24,2330,42600813,11022372004,263,263,256.5,258,-8,17287
2018-01-25,2330,46214756,11981089514,258,264,256.5,258,0,15826
2018-01-26,2330,43514523,11101977348,256.5,257.5,253.5,255,-3,12821
2018-01-29,2330,31306234,8067780117,259,261.5,255,258.5,3.5,12211
2018-01-30,2330,37410591,9523980994,256,257.5,252.5,253,-5.5,12987
2018-01-31,2330,45807808,11670582000,253,257.5,252,255,2,13553
2018-02-01,2330,30900457,8022694430,257.5,261,257,259.5,4.5,13598
2018-02-02,2330,25707560,6633344540,259,260,255,259.5,0,11404
2018-02-05,2330,46554379,11742299859,251,254.5,250.5,253,-6.5,16909
2018-02-06,2330,104448048,24944565955,242.5,243.5,234,239,-14,35455
2018-02-07,2330,82299178,19903032966,245,245.5,239.5,240,1,22962
2018-02-08,2330,31192550,7468970072,239.5,242,238,238.5,-1.5,10274
2018-02-09,2330,65939265,15227192540,230,233,228.5,232.5,-6,19749
2018-02-12,2330,42917236,10113012768,235.5,237.5,235,236.5,4,10851
2018-02-21,2330,76396174,18582475956,244.5,244.5,242,242.5,6,21512
2018-02-22,2330,45492993,10977665819,244,244,239,239.5,-3,10071
2018-02-23,2330,26985776,6578657620,241,245,241,245,5.5,10178
2018-02-26,2330,36165810,8910352170,247,247.5,245,246.5,1.5,12565
2018-02-27,2330,44699119,11061945363,250.5,250.5,246,246,-0.5,10908
2018-03-01,2330,43847984,10669194561,244,245,242,243,-3,11589
2018-03-02,2330,35289170,8453712014,240,241,238.5,240,-3,10440
2018-03-05,2330,27337846,6607367732,242.5,243,240.5,241.5,1.5,9321
2018-03-06,2330,36945780,9155812210,245.5,250,245.5,250,8.5,13977
2018-03-07,2330,30391219,7525601638,248,248.5,246,247,-3,10521
2018-03-08,2330,20645694,5172732531,249.5,251.5,249,249.5,2.5,8817
2018-03-09,2330,22887063,5723277170,250,251,248.5,250.5,1,7050
2018-03-12,2330,25100615,6370529728,252,255,251.5,254,3.5,10550
2018-03-13,2330,34264883,8816553606,255.5,259,255,259,5,11700
2018-03-14,2330,24254838,6220805864,256.5,257.5,255.5,257,-2,8518
2018-03-15,2330,19396493,4965546715,258,258,255,255,-2,5945
2018-03-16,2330,62989326,15930805360,253,256,249.5,255,0,18058
2018-03-19,2330,22440766,5679567964,252.5,255.5,251,255,0,9888
2018-03-20,2330,22335151,5640426203,253,254,251.5,253,-2,9334
2018-03-21,2330,32977737,8325162114,255,255,251,252.5,-0.5,11575
2018-03-22,2330,27000718,6797045014,254.5,254.5,249.5,251.5,-1,10475
2018-03-23,2330,52974390,12994667867,245,247,244,245,-6.5,20513
2018-03-26,2330,39487945,9582954454,241.5,244.5,241.5,243.5,-1.5,11404
2018-03-27,2330,31100260,7732298021,248,251,247,251,7.5,11698
2018-03-28,2330,29924411,7349468217,247.5,248,244,245,-6,13041
2018-03-29,2330,36427345,8888435870,243,247,242.5,244,-1,12832
2018-03-30,2330,16996346,4212690462,247.5,249.5,246,246,2,7578
2018-03-31,2330,3603912,893664176,247.5,249,246.5,247.5,1.5,2409
2018-04-02,2330,19029003,4702581241,248.5,249,245,246.5,-1,6951
2018-04-03,2330,35813944,8710200224,243,244.5,242,244,-2.5,13270
2018-04-09,2330,35465824,8716801768,248,248,243.5,245,1,12437
2018-04-10,2330,25268994,6231896018,244.5,249,243.5,245.5,0.5,11912
2018-04-11,2330,21777935,5391978180,246.5,248.5,246.5,248,2.5,8813
2018-04-12,2330,20476657,5028226522,248.5,248.5,244,245,-3,6898
2018-04-13,2330,19946548,4885963546,246,246,244,244.5,-0.5,5549
2018-04-16,2330,21608528,5251556179,243,244,242,243.5,-1,8436
2018-04-17,2330,42756389,10232256860,243,243.5,237.5,238,-5.5,18381
2018-04-18,2330,44768048,10668587090,239.5,241.5,236.5,238,0,12132
2018-04-19,2330,33230989,8081404960,242,244.5,241,244.5,6.5,10987
2018-04-20,2330,129890087,29837344632,228,231.5,228,229,-15.5,46349
2018-04-23,2330,71901975,16282275410,226.5,227.5,225,226.5,-2.5,22048
2018-04-24,2330,45206892,10233860296,225,227.5,225,227,0.5,13970
2018-04-25,2330,48975110,11032111105,225.5,226,224,225,-2,15136
2018-04-26,2330,48176657,10766085521,225,225.5,221,222,-3,16253
2018-04-27,2330,34443459,7679131764,225,225.5,221,223.5,1.5,10859
2018-04-30,2330,28500789,6448117416,224.5,228,222.5,227,3.5,9480
2018-05-02,2330,38436942,8633492540,227,227.5,222.5,223,-4,11445
2018-05-03,2330,33507731,7399813831,221,222.5,220,220.5,-2.5,12287
2018-05-04,2330,28477722,6330594053,221,224,220.5,223,2.5,8445
2018-05-07,2330,23751759,5309421525,225,225.5,221.5,223.5,0.5,8951
2018-05-08,2330,40324763,9146327464,224,228.5,223.5,228,4.5,13229
2018-05-09,2330,35597934,8188991070,228.5,232,228.5,229.5,1.5,12616
2018-05-10,2330,27530377,6337230710,231,231.5,229,229.5,0,11051
2018-05-11,2330,30693910,7138428530,232,234,230.5,233,3.5,11920
2018-05-14,2330,23577637,5502726121,234.5,234.5,232.5,233,0,7666
2018-05-15,2330,23771769,5493470187,233.5,234,229.5,230.5,-2.5,7810
2018-05-16,2330,14834107,3408682013,229.5,230.5,228.5,230.5,0,5398
2018-05-17,2330,27702737,6322484836,231,231.5,226.5,226.5,-4,8428
2018-05-18,2330,28187541,6327474145,225.5,227.5,223.5,223.5,-3,9720
2018-05-21,2330,16417815,3751438835,225,230,225,229,5.5,7591
2018-05-22,2330,22422097,5175634112,230,233.5,229,229,0,6963
2018-05-23,2330,26737899,6146178621,231.5,231.5,228.5,228.5,-0.5,5059
2018-05-24,2330,13450610,3082675140,229.5,230,228.5,229,0.5,4240
2018-05-25,2330,16486294,3769909946,228.5,229.5,228,228.5,-0.5,5474
2018-05-28,2330,17673270,4020203060,229.5,230,226.5,227,-1.5,7239
2018-05-29,2330,25770776,5782293276,226.5,226.5,223.5,225,-2,11400
2018-05-30,2330,49667788,10997306304,224,224,220.5,221,-4,21406
2018-05-31,2330,96587458,21553655265,221.5,224,220.5,224,3,12737
2018-06-01,2330,36652094,8209412370,224.5,226.5,224,224,0,7627
2018-06-04,2330,31257480,7131988670,227.5,229,227,229,5,9746
2018-06-05,2330,27714384,6329201896,230,230,226.5,229,0,8509
2018-06-06,2330,30375441,6961135060,229,230,227,230,1,9758
2018-06-07,2330,25277266,5809345446,231,231.5,228,230,0,9146
2018-06-08,2330,24192851,5493234408,229,229,226,227,-3,7775
2018-06-11,2330,22028933,4980629259,226.5,227,225,226,-1,6726
2018-06-12,2330,30189360,6837374510,225,229,224,229,3,8281
2018-06-13,2330,36081120,8311856296,229,232,228,232,3,10687
2018-06-14,2330,36932041,8423126398,230,230,226.5,226.5,-5.5,12252
2018-06-15,2330,49506679,11291127719,225,231,224,231,4.5,10090
2018-06-19,2330,61142624,13754800554,225.5,226,224,225,-6,19088
2018-06-20,2330,40708701,9175159127,224.5,227.5,223.5,226,1,13262
2018-06-21,2330,32572707,7379769339,227.5,228,226,226.5,0.5,9421
2018-06-22,2330,44211409,9994644852,224.5,227.5,224,227.5,1,14388
2018-06-25,2330,49058211,10749795782,220,220.5,218,218,0,17959
2018-06-26,2330,43080346,9242648746,215.5,216,212.5,214.5,-3.5,15639
2018-06-27,2330,40863414,8742004301,216,216,212.5,213,-1.5,12681
